trial_index,key,label,order_position,elapsed_ms,returncode
0,world/crew/concepts/report-checker,m2,0,56.28962209448218,0
0,world/crew/concepts/report-checker,baseline,1,41.09452408738434,0
1,efforts/multi-agent-orchestration/implementation/harness/t9a-task-2e-index,m2,0,55.29439589008689,0
1,efforts/multi-agent-orchestration/implementation/harness/t9a-task-2e-index,baseline,1,37.45295410044491,0
2,world/engineering/concepts/environment-capture,baseline,0,36.930341040715575,0
2,world/engineering/concepts/environment-capture,m2,1,57.516895001754165,0
3,efforts/knowledge-compositor/spec-amendments,m2,0,60.71650795638561,0
3,efforts/knowledge-compositor/spec-amendments,baseline,1,36.95702995173633,0
4,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit-delivery-deferred,baseline,0,39.129524026066065,0
4,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit-delivery-deferred,m2,1,56.94472696632147,0
5,efforts/multi-agent-orchestration/implementation/harness/m6/stage,baseline,0,36.20946384035051,0
5,efforts/multi-agent-orchestration/implementation/harness/m6/stage,m2,1,56.69247708283365,0
6,world/crew/models/write-retrieve-layer,baseline,0,36.543186055496335,0
6,world/crew/models/write-retrieve-layer,m2,1,61.030866112560034,0
7,efforts/knowledge-compositor/spec-requirements,baseline,0,38.0870399530977,0
7,efforts/knowledge-compositor/spec-requirements,m2,1,56.620851159095764,0
8,world/engineering/rulings/2026-08-31-lean-on-minimax-m3-for-delegable-token-load,baseline,0,37.10796101950109,0
8,world/engineering/rulings/2026-08-31-lean-on-minimax-m3-for-delegable-token-load,m2,1,58.6792950052768,0
9,mind/dialectic/concepts/dispute,m2,0,57.76399583555758,0
9,mind/dialectic/concepts/dispute,baseline,1,37.314977031201124,0
10,efforts/knowledge-compositor/m5/requirements,baseline,0,38.34724589250982,0
10,efforts/knowledge-compositor/m5/requirements,m2,1,59.92655293084681,0
11,efforts/multi-agent-orchestration/implementation/harness/m3/t5a-criteria-8-13,baseline,0,37.05965983681381,0
11,efforts/multi-agent-orchestration/implementation/harness/m3/t5a-criteria-8-13,m2,1,55.970277171581984,0
12,world/engineering/conjectures/migrate-incrementally-rather-than-rewrite,m2,0,56.36694794520736,0
12,world/engineering/conjectures/migrate-incrementally-rather-than-rewrite,baseline,1,38.01343101076782,0
13,world/engineering/concepts/seam,m2,0,58.10349900275469,0
13,world/engineering/concepts/seam,baseline,1,38.50024985149503,0
14,efforts/multi-agent-orchestration/implementation/harness/m1/design,m2,0,56.77321692928672,0
14,efforts/multi-agent-orchestration/implementation/harness/m1/design,baseline,1,36.76866693422198,0
15,mind/memory/ideas/2026-08-31-fictive-layers,baseline,0,38.96833583712578,0
15,mind/memory/ideas/2026-08-31-fictive-layers,m2,1,58.500069892033935,0
16,efforts/multi-agent-orchestration/implementation/harness/m4/requirements,m2,0,56.226033018901944,0
16,efforts/multi-agent-orchestration/implementation/harness/m4/requirements,baseline,1,39.63792487047613,0
17,world/engineering/concepts/throughput,baseline,0,41.62226989865303,0
17,world/engineering/concepts/throughput,m2,1,62.953755958005786,0
18,efforts/knowledge-compositor/spec-requirements-r16-r18,m2,0,61.324171954765916,0
18,efforts/knowledge-compositor/spec-requirements-r16-r18,baseline,1,43.58434211462736,0
19,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r14-revisability,m2,0,68.70140600949526,0
19,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r14-revisability,baseline,1,42.35917585901916,0
20,mind/dialectic/individuals/reids-essays-vi,m2,0,62.149443896487355,0
20,mind/dialectic/individuals/reids-essays-vi,baseline,1,40.199201088398695,0
21,efforts/knowledge-compositor/spec-requirements-r4-r5,m2,0,58.41740616597235,0
21,efforts/knowledge-compositor/spec-requirements-r4-r5,baseline,1,44.006128795444965,0
22,world/engineering/concepts/feedback-loop,baseline,0,40.7840539701283,0
22,world/engineering/concepts/feedback-loop,m2,1,62.822259962558746,0
